spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
Lokeren	t	ɪs	stɪl	in		strʌːtə	mɒrə		eːnəkir		bei	ɪː̃	fɑn	d	œːz	œːzn		çəlɪŋkə	fɑ	çlɒɑs	ə	frɑu	kɔmt	fəsxrɪkt	nə	bœːtn		da	s		ɯk			lypt	ʃyst		çlʌːzəmɒkər	də	frʌu	frɒːçt	ɒf	tɪː	də	rœːtə	wɪl	mɒːkŋ	mɑrə	ɪn		kɒrtn	tɪːt			n	t	strʌːtə				rœːtn	dən	ɑçænt	pʌst		ækstra	çu	ɔp	ʌzt	ɪ				lʏpt	mʌr	tæn	siːt	ɪ	ɔp	dən	uk	fɑn	t	strɒːt	ə	klæːn	mɑnəkə				wə	ʃyst		nə	stiː	ruːə	it	lʌːtər	siːt		ɑçænt		mɑnəkə	tyːpə / sɔmm	mɪt	də	çlʌːzəmɒkər	løpm	dən	ɑçænt	bəslœt		s		ɑn	t	ɒn	mʌr				ni		sə		pɑkŋ		
Lommel	t	ɪs	stɪl	ɔp		stʀʌːt			ɪnɪns		bɛi	eːn	fɑn			hœizə		lawɛːt	fɑn	çlɑs	n	fʀɒu	kɔmt		na	bœːtə		dɑ	ɛs			stʀɑf	dʊ	lɔːp	ʃyst		çlɑːzəmɑːkəʀ		fʀɒu	fʀɑːçt	ɒf	i		ʀœːt	wɪl	mɑːkə	mɛ	ɪn			tɛːt	çɒːnkapɒt	ə							ʀœːtə		plis	læt	nə		çu	ɔp	ɑs	i	dʏːʀ			lɔpt		dʌ	ziç	i	ɔp	dən	huk	fɑn	də	stʀʌːt	ə	klæːn	mænəkə	stʌn			wʏl	ʒyst		ə	stɪːn	smæːtə	ɛfkəs	əʀnɑː	zit				mænəʔə	sɑːmm	mæt		ʀœːtəmɑːʔəʀ		dɪʀ	pəlis	wɪl		ən		ɒp		pakə	mæʀ	ət	çɪt		ni	ɔ̃	zə	tə	pakə	tə	kʀɛeçə
Lunteren	t	ɪs	stɪl	ɔp		straːt	mɑr	dan			bɛi	ei	fɑn	də		hysə	ət	xərɪŋkəl	fɑ	xlas	ə	ʋif	kɔmt		na	bytə	hei	da	s	nɔ	ɒk	tufɑləx	daː	kɔm	nɛt	də	kɪːəlfɑntxlas		ʋif	fraːxt	ɒf	ti	də	ryt	ʋɪl	mʌːkə	mær	ɪn		kɒrtə	tit	xʌːnɑndɪxələ	dər	ɪn	də	straːt	izəx	føːl	ryt	rytə	də	sxrɪk	lɛt	nu			ɔp	ɑs	ti	dʏːr	də	strɑːtə	lʌupt	mɑr	dɑn	sit	i	ɔp	də	huk	fɑn	də	strʌːt	n	klɛin	kɪrəlcə	stɑːn				nɛt		ən	stein	xʊiə	ɛfə	lʌːtər		də	sxrɪk	ət	kɪrəlcə	sʌːmə	mɛt	də	xlɑskɪəl		də	sxrɪk	bəslyt	œm	sə			tə	ɑrəstɪːrə	mær	tə	lœkt	əm	nit		sə	tə			krixə
Maldegem	t	ɪs	stɛl	ɔp		strʌtə	mʌ		ʌmɛnəkɪr		bɛː	ɪː̃	fɑn	d	ys	ɪːzn	t	hərɛhtə	fɑ	hlɑs	ə	frɑuə		ɔndɑːn	nɑ	bytn		dɑ	z	nɛi	ɤk	tufʌləh	daː	lɤup	ʃistə	də	rytəmɑkər	də	frɑuə	frɑːht	ɒt	hɛi	də	rytə	wɛl	mɒkŋ	mʌr	ɛn	ən	kʊrtə	teit	snøfələn	dər	ɛn	də	strʌtə	freː		rytə	rœːtn	də	flik	læt			hut	ɔp	ɒt	i	dʏːr	də	strʌtn	loupt	mʌ	tɒːn	sit	i	ɔp	dən	uk	fɑn	t	strʌtə	ə	klæːn	fɛncə		t	fæncə		ʃystə		nə	stɛː̃	smytn	ənpoːskə	lʌtər	sit	də	flik		fɛncə	toupə	mɪt	də	rytəmɑkər	louʔn	də	flik	bəslyt	ɔm	z	ɑlətwɪə	ɑn	t	hʌudən	mʌ	t	lækt	æm	ni	ɔm	zə	tə	pɑkŋ	tə	kriɡŋ
Marken	hɛt	ɪs	stɪl	ɔp		straːt	mɑ	dɑn	ɪnẽĩs	klɪŋkt	bɛi	ein	fɑn	də	hays	hayzə	hɛt	xərɪŋkəl	fɑn	xlɑs	ə	frau	stɑpt	ondaːn	nɑ	bœytə	hei	dɑ	s	nɑu	ouk	tufɑləx	daː	loupt	jœyst	də	xlɑsɛtər	də	frau	fraːxt	ɒf	hɛi	də	rœyt	ʋɪl	repərɪːrə	ma	ɪn		kɒrtə	tɛit	snøfələ	ɛr	ɪn	də	straːt	hɪːl	fɪːl		rœytə	də	pəlitsiɑxɛnt	lɛt	ny	ɛkstra	xut	ɔp	ɑz	hɛi	dʊːr	də	straːtə	lʌupt	ma	dɑn	sit	hɛi	ɔp	də	huk	fɑn	t	straːt	ən	klɛin	jɔŋəcə		hɛt	jɔŋəcə	ʋɪl	nɛt		ə	stein	xɤiə	eifə	laːtər	sit	də	pəlitsiɑxɛnt	ət	jɔŋəcə	saːmə	mɛt	də	xlɑsɛtər	lʌupə	də	ɑxɛnt	bəslayt	ɔm		bɛidə	aːn	tə	hɑuə	mɑ	ət	lʏkt	əm	nit		sə	tə	pɑkə	tə	krɛixə
Middelharnis	ət	ɪs	stɪl	ɔp		straːt	mɑr	dɑn	əniː̃s	klɪŋk	bi	ɪː̃n	fɑn	də	hys	hyzn	hɛt	xərɪŋkəl	fɑn	xlɑs	ə	frau	stɑpt	ɔndaːn	nə	bytən	hei	da	s	nə	ʌːk	tufaləχ	daː	lʌp	jyst	də	χlʌsætər	də	frau	fraːχt	ɒf	i	də	ryt	wɪl	repərɪːrə	mɑr	ɛn		kɒrtə	tit	snøfələ	dər	ɪn	də	straːt	hɪːl	fʏːl	ryt	rytə	də	pəliʃɑχɛnt	læt	nɒ	ækstra	xud	ɔp	ɑs	i	dʏːr	də	straːtə	lɑːpt	mɑr	dɑn	zit	i	ɔp	də	huk	fɑn	də	straːt	ə	klɛin	jɔŋəcə		hət	jɔŋəcə	wɪl	næt		ə	stɪː̃	χʊiə	eifə	læːtər	zit	də	pəliʃɑχɛnt	ət	jɔŋəcə	sæːmm	mæt	də	χlʌsætər	lɑːpə	də	æχænt	bəslyt	ɔm		bɛidə	ɑn	tə	hɑːuə	mɑr	ət	lœkt		nɪt		sə	tə	pɑkə	tə	krɪxə
Naaldwijk	hɛt	ɪs	ʀʏstəx	ɔp		stʀaːt			ɔpẽĩs			ein	fɑn	də		hœyzə		xəʀɪŋkəl		xlɑs		fʀaɯ	kɔmt	xəsʀɔkə	nə	baytə						tufʌləx					xlʌsɛtəʀ	də	fʀaɯ	fʀaːxt	ɒf	hɛi		ʀaːm	ʋɪl	mɑːkə								ɪn	də					ʀaːmə	də	pəlitsi		nɑ	ɛkstʀa	xut										sit	i		də					ẽ		jɔŋəcə				ʋɪl		mɛt	ə	stein	xɤia	ɛfə	lɑːtəʀ	sit	də	pəlitsi	hɛt	jɔŋəcə		mɛt		xlʌsɛtəʀ				ʋɪl		zə		ʊp		pʌkə					nit		sə	tə	pɑkə		
Neeroeteren	hɛt	ɪʃ	ʃtɪl	ɔp		ʃtʀɔːt	mɑʀ	dɑn	ɪnɪː̃s		bi	ein	fɑn	də	hus	huzəʀ		çəklɪŋəl	fɑn	çlɑːs	ən	fʀɑu	kæmt	hɪːlydəʀdʊn	nʌ	bytə	ei	dat	ɪʒ		ɤuç		dɒ	leː	ʃœst	də	çlɑːsənɛikəʀ	də	fʀɑu	fʀeiçt	ɒf	hɛi	də	ʀut	wʏlt	mɑːkə	mɑʀ	ɔp		kɒʀtə	tiːt	çɒːnkəpɒt	əʀ				hiːl	fœːl	ʀut	ʀutə	də	pəlɪs	læt	ny	ækstʀa	çʊd	ɔp	æz	əʀ	dʊːʀ	də		leit	mɑʀ	dɑn	zit	hɛi	ɔp	dən	huk	fɑn	də	ʃtʀɒːt	ə	klæn	mænəkə		hɛt	mænəkə	wɒl	ʃœst	mət	ənə	ʃtein	çɯiə	æfə	dəʀnɒː	zit	də	pləs	ət	mænəkə	sɑːmə	mæt	də	çlɑːsənɛikəʀ	lɤːpə	də	pələs	bəʃlɪst	ɔm	zə	ɑlətwi	ɑːn	tə	houə	mɑʀ	ət	lækt	əm	nɪːt	ɔm	sə	tə	pɑkə		
Nij Altoenae	hət	ɪs	stɪːl	ɪn		straːt	ma	dan	ɪneinn		bai	ein	fan	də	hyːs	hyzn		ɡərɪŋkəl	fan	ɡlɑːs	ə	frau	stɑpt	ɑndɛin	nə	bytn	hei						dæː	loup	krɛk	də	ɡlɑːsɛtər	də	frau	fraːxt	ɑt	i	ət	ryt	ʋɪl	maːkə	mɑr	ɪn		kɒrthʏtsi	tiːt		dər	ɪn	də	straːt		føːl	ryt	rytn	də	plisi		nɑu	ɛkstra	ɡuːt		at	i	dʏːr	də	straːtn	loupt	ma	dan	siːt	i	ɔp	ə	huk	fan	də	straːt	ən	klɒin	jɔŋki		ət	jɔŋki	ʋɪl	krɛk		n	stein	smite	eifə	l  ̴aːtər	siːt	də	pəlisi	ət	jɔŋki	təɡaːr	mɛt	də	ɡlɑːsɛtər	lʌupm	də	plisi	bəslyt	ɔm	zə	bɒidə	ɑːn	tə	haːuən	mɑ				nɪːt		sə	tə	pakŋ		
Nijverdal	t	ɪs	stɪlə	ɔp		strʌːtə	mʌ	dɑn	ɪnɪː̃s	klɪŋk	bi	ɪː̃	fɑn	də	hys	hyzə		xərɪŋkəl		xlɑs	ə	frɑuə	stɑpt		na	bytn	heː	dɑ	s			tufɑləx	dʊː		nɛt		xlʌsɛtər	də	frɑuə	frœx	ɒf	hɛi	də	rutə	ʋʏl	repərɪːrn						snøfəlt	ər	ɪn	də	strʌːtə	bʌrstəns		rutə	rutn	də	pəlisi		nu				ʌs	ə				xiːt	mʌ	dɑn	sœt	ər	ɔp		huːk	fɑn	də	strʌːtə	ən	klɛin	jɒxi			jɒxi	ʋʏl	nɛd		n	stɪː̃	xʊin	ɛbm	lʌːtər	zœt	dən	ɑxɛnt	ət	jɒxi	saːmm	mɛt		xlɑsɛtər	loːpm	dən	ɑxɛnt	bəslœt			ɑləbɛidə	ɑn	tə	hɒln	mʌr	ət	lʏkt	əm	ni		sə	tə	pɑkŋ	tə	kriɡŋ
Noordwolde-Zuid	hɛt	ɪs	stɪl	ɔp		strɑːtə	mɑr		ɪnɪː̃s	klɛŋkt	bei	ɪː̃	fan	də		hyːsn		xərɪŋkəl		xlas	ə	frau	stapt	ɔndʌːn	na	bytn		da	s	nə	oːk		dʊː	lœp	jyst	də	xlæːzənsɛtər	də	frau	frʌːxt	ɒf	hɛi	də	rytə	wʏl	mæːkŋ	mar	ɪn		kɒrtə	tit	snøfəld	dər	ɪn	də	strɑːdə			rytə	rytn	də	plisi	kɪkt			xʊt	yt			dʏːr	də	strʌːtn	lɒp	ma	dæn	sit	i	ɔp	də	hukə	fan	də	strɑːtə	ə	klɛin	jɔŋxi		hət	jɔŋxi	wɪl	jyst				xʊin	eːbm	læːtər	sit	də	plisi	ət	manəxi	sæːmm	mɛt	də	xlaːzəsɛtər	loupm	də	plisi	bəslyt	ɔm		bɛidn	ɑn	tə	holn	mar	ət	lʏkt	əm	nit	ɔ̃m	sə	tə	pakŋ	tə	kriɡŋ
Ommen	ət	ɪs	stɪl	ɔp		strʌːt			ɪniː̃s	klɪŋkt	bi	iː̃	fɑn	də	hys	hyːzn		xəklɛtər	fan	xlas	ə				na	bytn							dʊː	kɔm	jyst		xlɑsɛtər	də	frɑu	frʏx	ɒf		də	rutə	wʏl	maːkŋ		ɛn		kœrdə	tit	xɒːtandɪxəln	ə						rutə	rutn	də	pəlitsiɑxɛnt	kɛikt			xut	ɒmsəxhɛː̃	ɑs	ə	dʏːr	də	strʌːtn	lœp	mæ	dɑn	sɛt	ə	ɔp		huk	fɑn	də	strʌːdə	ən		kɛəlcə	stʌːn	ət	jɒxi	wɪl	nɛt		n	stiː	smitn	əsxɒfi	laːtər	sœt	də	pəlitsiɑxɛnt	ət	jɒxi		mɛt	də	xlɑsɛtər	loːpm	də	axɛnt	bəslyt	ʏm		bɛidn	ɑn	tə	hɒln	ma	t	lʏkt	əm	ni	œm	sə	tə	pɑkŋ	tə	kriɡŋ
Onstwedde	t	ɪs	stɪl	ɔp		strɔːdə	mʌ	dan	ɪnɒ̃ĩs	klɪŋk	bi	ɑ̃ĩ	fan	də	hus	huzn	hɛt	xərɪŋkəl	fa	xlas	əi	fraː	stapt	ɔndʊːn	nʊ	butn	hei	da	s				dʊː	lɒp	jyst	də	xlasɛtər	də	fraː	frɔːxt	ɒf	hɑi	də	rudə	ʋɪl	klʊːrmɒkŋ	mʌr	ɪn		kœːrdə	tit	snøfəln	dən	ɪn	də	strɔːdə	høːl	fœːl	rudə	rutn	də	pəlitsi	lɛt	nɑu	ɛkstra	xɑud	ɔp	as	hɛi	dʏːr	də	strɔːtn	lʌpt	mɒr	dɛn	sœx	ha	ɔp	də	hɑukə	fan	də	strɒːt	ən	løcə	jɔŋkjə		t	jʌŋkjə	ʋɪl	nɛt		n	stɑinə	xʊin	eibm	lɒːtər	sœx	də	pəlitsi	t	jɔŋkjə	sɔːmm	mɛt	də	xlasɛtər	lʌupm	də	pəlitsi	bəslut	ɔm		baidn	æː̃	tə	hɒːdn	mɒr	t	lʏkt	əm	ni	œm	zə	tə	pakŋ	tə	kriɡŋ
Oostende	t	ɪs	stɛl	ɔp		strɒːtə	mɒ	tʊn	ɔpeː̃s	kliŋkt	bi	ɛː̃	fan		ys	ysn		həriŋkəl	fɑ	hlɑs		mɑdɑm	kɔm		no	bytn		dʌ	z		ɯːk			lɒpt	ʃystə		rytəmʌːkər		mɑdɑm	fraːht	ɒf	di		rytə	wɛl	fəmʌːkŋ	mɒ	ɛn		kɒrtə	tit	snøfəln	dər	ɛn	də	strɒːtə	hɛːl	fiːl	rytə	rytn	də	pʊliʃə	læt	ny	ɛkstɑ	hud	œp	ɒt	i	dʏːr			lɒpt	mɒ		siːt	i	ɔp	dən	uk	fan	də	strɒːtə	ə	klɛːn	fɪncə			juŋəcə	wɛl	ʃystə	mæd	ə	stɛːn	smitn	əbecə	lɒːtər	siːt	də	pʊliʃə		jɔŋəcə	təhɒːrə	mæt	də	rytəmʌːkər	loːpm	də	pʊliʃə	bəslyt	ɔm	zə	ɑlətwæː	ɑn	t	ɯn	mɒ	t	lʏkt	hæm	ni	fu	sə	tə	pɑkŋ		
Ooy	t	ɪs	stɪl	ɔp		strʌːt	mʌr		ɪnɛns	klɪŋkt	bei	ɪː̃n	fɑn	də	hys	hyːzə		çərɪŋkəl	fɑ	çlɑs	ə	frɑu			nə	bytə		dɑ	s	nɑu	oːk	tufɑləç	dɑː	lʏp	nɛt	də	çlɑsɛtər	də	frɑu	frʏç	ɒf	di	də	ryt	ʋɪl	maːkə	mɒr	ɪn		kɒrtə	tit	çɒːnkəpɒt	ər	ɪn	də	strʌːt			ryt	rytə	də	pɒlisiaçɛnt				çud		ɑz	hɪ	dʏːʀ	də	strʌːtə	lœp	mʌr	dɑn	sit	hɛ	ɔp	də	huk	fɑn	də	strʌːt	ə		jʏŋskə	stʌːn	ət	jʏŋskə	ʋɪl	nɛd		ə	stɪ̃	çʊiə	ɛfə	laːtər	sit	də	ɑçɛː̃t	ət	jʏŋskə	saːmə	mət	də	çlɑsætər	loːpə	də	ɑçæː̃t	bəslyt	ɔm	zə	bɛidə	ɔp	tə	pakə	mʌ	t	lʏk	əm	nit	ɔm	zə	tə	pɑkə	tə	kriçə
Oude Niedorp	ət	ɪs	stɪl	ɔp		straːt	mar		ɪniː̃ns	klɪŋk	bɛi	ein	fɑn	də	hayz	hayzə	ət	rɪŋkələ	fɑn	xlɑs	ə	frɑu	kɔmt	fəskrɪkt	na	bœytə	hɛ	dɑ	s	nə	ɔk	tufɑləx				də	xlɑsɛtər	də	frɑu	fraːxt	ɒf	hɛi		raːm	wʏl	maːkə						xaːnstʏk	dər	ɪn	də	straːt	hɪːl	fʏːl		raːmə	də	ɑxɛ̃nt						ɑls	hɛi				loupt		dɑn	zit	hɛi	ɔp	də	huk				ən	klɑin	jɒxi		ət	jɒxi	wʏl	nɛt		ə	stiː̃	χʊiə	ɛfis	dənaː	zit	də	ɑxɛ̃nt				mɛt	də	xlɑsɛtər	loupə		ɑxɛ̃nt	wʏl			bɛidə	ɑn		hɑuə					nit		sə	tə	pɑkə		
Oudebildtzijl	ət	ɪs	stɪːl	ɔp		dik	mar		əpdɑtstɑyt	kl  ̴ɪŋk	bɛi	ẽĩ	fan	də	hyːs	hyːzn	ət	ɡərɪŋkəl	fan	ɡl  ̴ɑːs	ə	frau	stapt	ɑ̃ndɛin	na	bytn	hei	da	z	nɑu	oːk	tufaləx	dæː	loup	krɛk	də	ɡl  ̴ɑːsɛtər	də	frau	fraːxt	ʌt	i	ət	ryt	ʋɪl	maːkə	mɑr	ɪn		kɒrthʏtsi	tiːt	snøfələ	dər	ɪn	də	straːt			ryt	rytn	də	pəl  ̴isi	l  ̴ɛt	nɑu	ɛkstra		ɔp	ɑt	i	dʏːr	də	straːtn	loupt	mɐ	dan	siːt	i	ɔp	ə	huk	fan	də	straːt	ə	klɑin	jɔŋki		hət	jɔŋki	ʋɪl	krɛk		n	stein	ɡʊiə	ənhʏtsɪ	l  ̴aːtər	siːt	də	pəl  ̴isi	hət	jɔŋki	təɡaːr	mɛt	də	ɡl  ̴ɑːsɛtər	loupm	də	pəlisi	bəslyt	ɔm		bɒidə	ɑːn	tə	hɑːuən	mar	t	l  ̴ʏkt	əm	nit		sə	tə	pakŋ	tə	kræiən
Overijse	t	ɪs	stɪl	ɔp		stʀoːt			inɪː̃nəkɪːʀ		bai	ɪː̃	fɑn	d		ɒəzə		çəʀɪŋkəl		çlɑs	ə	fʀɑː	kɔmt		nə	bɔətə	eː	dɑ	wʏl		uk	lʏkə	dʊː		ʃyst		çlʊːzəmʊːkər	də	fʀɑː	fʀʊːçt	ɒf	hɛ		fɪ̃stəʀ	wɪlt	ʀɛpaʀɛːʀə	mɒ	ɪn		kœʀtən	tæːt	snø̃fələ	əʀ	ɪn	də	stʀoːt	ɪːl	fɶːl		fɪ̃stəʀs	dən	ɑçɪnt	lɛt	nɑ	ɛkstʀɑ	çʏːd	ɔp	ɑs	hɛ	dœː	də	stʀʊːtə	lʏpt		dɛn	sɪːt	m	ɔp	dən	uk	fɑn	də	stʀʊːt	ə	klɑːn	mænəkə			mænəkə	wɪlt	ʃyst	mæ	nə	stiː̃	smæːitə	ənbeikə	lʊːtəʀ	sɪːt	dən	ɑçɛnt	ət	mænəkə	sʊmm	mæt	də	çlʊːzəmʊːkər	lʏɑpə	dən	ɑçænt	dɛsidæːʀt	ɔm	s	ɑlətwi		t	ɑʀəstɛːʀə	mɒ	t	lʏkt	æm	ni	ɔm	zə	tə	pakə		
Pannerden	ət	ɪs	stɪl	ɔp		stʀʌːt	mʌ	dɑn	ɪnɛns	klɪŋk	bɛi	iː̃	fɑn	də	hys	hyzə	ət	çəʀɪŋkəl	fɑn		ə	fʀɑu	lʏp	ɔndʌːn	nə	bytə		dɑ	s	nɑu	ouk	tufɑləç	dʊː	lœp	jyst	də	ʀytəsætəʀ			fʀœç	ɒf	hɛi	də	ʀyt	wɪl	mɑːkə	mʌʀ	in		kɒʀtə	tit	çʌnkəpɒt	ə	ɛn	də	stʀʌːt		fʏːl	ryt	ʀytə	də	pəlisi	læt	nɑu	ækstʀɑ	çut	ɔp	ɑs	i	dʏːʀ	də	strʌːtə	lœp		dɑn	sit	i	ɔp	də	huk	fɑn	də	stʀʌːt	ə	klɛin	jʏŋskə		hət	jʏŋskə	wʏl	næt		ən	kɛi	çʊiə	æfə	lʌːtəʀ	sit	də	plisi	hət	jʏŋskə	saːmə	mæt	də	çlɒːzəzætəʀ	loːpə	də	plitsi	bəslyt	œm	zə	bæiə	ɑnʲ	tə	hɑuə	mʌr	ət	lʏk	əm	nit	œm	zə	tə			kriçə
Poperinge	t	ɪs	stɪl	ɔp		strɒːtə	mə	tun	ɒməkir		bi	ɛː̃	fan		ys	yzn		hərɪŋkəl	fa	hlɑs		wyf	kɔmt		nɑ	bytn			mɯ			pɑsn		lɒpt	ʒystə				wyf	frɒːht	ɒfdɑt	m		rytə	wɛlt	fəmɒːkŋ	mɑr							ɛn	də	strɒːtə	stif		rytə	rytn	də	pʊlisɪ	læt	ny			œp	ɑt	m	dʏːr			lɒpt	mɒ	tʊn	ziːt	m	œp		uk	fan	də	strɒːtə	a	kliɪn	fɪncə	stɒː̃		fɪncə	wɛlt	ʃystə		a	stɛː̃	smitn	əbecə	lɒːtər	ziːt	də	pʊlisɪ		fɪncə		mæt		fæntfɑndərytn	loːpm	də	pʊlisə	peist	fɑ	z	ɑlətwi	œp	tə	pɑkŋ					ni		sə		pɑkŋ		
Reeuwijk	ət	ɪs	stɪl	ɔp		straːt	ma	dɑn	ɪneː̃s	klɪŋk	bɛi	ein	fɑn	də	hœys	hayzə		xərɪŋkəl	fɑn	xlɑs		frɑu	stʌpt	xəsxrɔkə	na	bœytə	hei	dʌ	z	nʌu	ouk	tufʌləx	daː	lɒp	jayst	də	xlʌsɛtər	də	frɑu	fraːxt	ɒf	hɛi	də	rœyt	ʋɪl	repərɪːrə	ma	ɪn		kʊrtə	tɛit	snøfələ	ər	ɪn	də	straːt	hɪːl	fɪːl		rœytə	də	plitsiɑxɛnt	læt	nu	ɛkstrə	xut	ʊp	ʌls	hɛi	dʊːr	də	straːtə	lʌupt	ma	dɑn	sit	i	ɔp	də	huk	fɑn	də	straːt	ə	klɛin	jɔŋəcə		hət	jɔŋəcə	ʋʏl	nɛt		ən	stein	xʊiə	eifə	laːtər	sit	də	plitsiɑxɛnt	ət	jɔŋəcə	saːmə	mɛt	də	xlʌsɛtər	lʌupə	də	ɑxɛnt	bəslayt	ɔm	sə	ɑləbɛi	aːn	tə	hɑudə	mɑɻ	ət	lʏkt	əm	nit		sə	tə	pɑkə	tə	krɛixə
Rijen	t	ɪs	stɪl	ɔp		stʀʌːt	mɑ	dɑn	ɪneː̃ĩs	klɪŋkt	bɛi	eː̃	fɑn	də	hɑys	hayzə		çəʀɪŋkəl	fɑn	çlɑs			stɑpt	ɔndaːn	na	bœytə		dæ	s		ɤuk	tufɑləç	də	lʌp	jaist		çlasætəʀ	də	fʀɑu	fʀaːçt	ɒf	ti	də	ʀayt	wɪl	ʀepəʀɪːʀə	mɑʀ	ɛn	ə	kɒʀtə	tɛit	snøfələ	əʀ	ɛn	də	stʀaːt	hɪːl	fʏl		ʀaytə		pliʃɑçɛnt	lɛt	ny	ɛkstʀə	çut	ɔp	ɑlz	hɛi	dʊːʀ	də	stʀaːtə	lʌpt	mɑ	dɑn	zit	i	ɔp	də	hɯk	fɑn	də	stʀʌːt	ə	klɛin	jɔŋəcə		t	jɔŋəcə	wɪl	nɛt		ə	stein	çʊiə	ɛfə	lɑːtəʀ	zit	də	pliʃɑçɛnt	ət	jɔŋəcə	saːmə	mæt	də	çlɑsætəʀ	loːpæ	də	plisi	bəslœyt	ɔm		bæidə	aːn	tə	hɑuə	mɑʀ	ət	lʏkt	əm	ni		zə	tə	pɑkə	tə	kʀɛiçə
Rijkevorsel	t	ɪs	stɪləkəs	ɔp	t	stʀʌːt	mɑʀ	dan	ɪnɪː̃s		bɛi	iː̃	fan	də	œːs	hœːs		çəʀiŋkəl	fan	çlas	ə	fʀɑɯ	stapt	fəsxɔːtə	nər	bœːtə	hei	dɑ	mɯt	naːu		lʏkə	dɑː	lʌp	ʃyst				madam	fʀʌːçt	ɒf	m		ʀœːt	wʊlt	mʌːkə	mɛʀ	ɪn				çɒːnkɑpɒt	dəʀ	ɪn	t	stʀʌːt	ɪːl	fœːl		ʀœːtə	də	pɒlɪs		na		çu		ɑs	m	dʏːʀ			lœp	mɑʀ	dan	siːt	m	ɔp	dən	uk	fan	t	stʀʌːt	æn	klæːn	manəkə			manəkə	wʊl	ʃyst		nə	stɪː̃	smæːtə	ɛfkəs	lʌːtəʀ	siːt	də	pɒlɪs		manəkə	saːm	mæt		fandəfæː̃stəʀs	lɤːpə	də	pɒlɪs	bəslœt	œm	z	ɑlətwiə	up	tə	pækə	mæʀ				ni		zə		pakə		
Roswinkel	t	ɪs	stɪl	ɔp		strʌːdə	mʌ	dan	ənɑ̃ĩs	klɪŋk	bi	ɑ̃ĩ	fan	də	hus	huzn	t	xərɪŋkəl	fa	xl  ̴as	ə	frɑːu	stɑpt	fəbɑldərɪːt	nɒ	butn	hɪi	da	s	nʌu	oːk	tufɑləx	dʊː	lɒp	jyst	də	xlɑsɛtər	də	məfrɑːu	frax	ɒf	ə	də	rudə	ʋʏl	reparɪːrn	mʌ	ɪn		kœːrdə	tit	snøfəln	dər	ɪn	də	strʌːdə	høːl	føːl	rudə	rutn	də	plitsiɑxɛnt	lɛt	nɑu	ɛkstrə	xɑud	ɔp	ɑs	ə	dʏːr	də	strʌːtn	lʌp	mʌr	dan	sʏx	ə	ɔp	də	hɑukə	fan	də	strɒːd	n	klɛin	jɔŋki		t	jɔŋki	ʋɪl	nɛt		n	stɑinə	xʊin	eːbm	lɒːtər	sʏx	də	plitsiɑxɛnt	ət	jʌŋki	sʊːmm	mɪt	də	xlasɛtər	loupm	də	plitsi	bəslɒt	œm		bɛidn	æː	tə	hɒːdn	mɑr	t	lʏkt	hɛm	nit		sə	tə	pakŋ	tə	kriɡŋ
s-Gravenvoeren	əd	ɪʃ	ʃtɪl	ɔp	çən	ʃtʀoːt	mæ	dɑ	opɪns		bi	eːn	fɑn	də	huːz	huːsə	t	ʀɑmɛnt	fɑ	çlɑːs	ən	fʀʊu	kʏmt	çɑːnsfəʀlʊːʀə	nə	butə	hɛː	dɑt	wʏl			zɪːn	də	lœp	ʃyst	də	çlɑːzənɪːʀkəʀ	də	fʀʊu	fʀyːd	ɒf	hiːʀ	də	ʀuːt	wʏlt	mɑːkə	mæʀ	ɔp		kɒʀtə	tiːt			ɛn	də	ʃtʀɔːt		fœːl	ʀut	ʀuːtə	də	ʒɑndɑʀm	kik	ny	ækstʀɑ	huːt		ɛs	hiːʀ	dʊːʀ			lœpt	mæ	dɑː	zɪːt	i	ɔp	çən	hoːk	fɑ	çə	ʃtʀʊːt	ən	kleːn	jʏŋskə		ət	jʌŋskə	wɪl	ʃyz		ənə	ʃteː	bʀuiə	çæt	lɑːtəʀ	siːt	də	ʃɑndɑʀm	ət	jʏŋskə	təhoːp	mət	də	çlɑːsəniːʀkəʀ	loːpə	dəʀ	ʃɑndɑʀm	wʏlt		ən	ɑlətwiə	ɑː		hoːə	maː	ət	lʏkt	əm	nɪt		sə	tə			
